Datetime,Tweet Id,Text,Username
2022-10-04 20:52:42+00:00,1577401345660883002,"Üniversitemize yeni katılan öğrencilerimize yönelik Oryantasyon Eğitimi düzenlenecektir.

Yeni başlayan tüm öğrencilerimiz davetlidir. 🤗

🗓5 Ekim 2022, Çarşamba
🕑14.00
📍Fırat Üniversitesi Atatürk Kültür Merkezi

#FıratÜniversitesi #Elazığ https://t.co/saHta6dFQw",fu_ogrenci
2022-10-04 19:46:55+00:00,1577384793003757571,Fırat üniversitesi hayvanları koruma topluluğu tarafından 4 Ekim Hayvanları Koruma Günü sebebiyle sokak kedileri için evler yapıldı. Yapılan evler öğrencilerimiz tarafından belirli yerlere bırakıldı. https://t.co/sjnmVBqL9F,elazigbahcsehir
2022-10-04 19:38:23+00:00,1577382642776948736,4 Ekim Dünya Hayvanları Koruma Günü kapsamında Fırat Üniversitesi Veterinerlik Fakültesi tarafından düzenlenen kedi evi yapma etkinliğine katılım sağladık. Bu farkındalık dolu etkinlik için Prof.Dr. Abdullah Özen ve Prof.Dr. Mehmet Çalıcıoğlu'na teşekkür ederiz @elazigbahcsehir https://t.co/Nwyn5UTsow,snnpltbjk
2022-10-04 18:39:17+00:00,1577367771566182403,"📍 Fırat Üniversitesi

Biz de seni bekliyorduk. 🙋🏻‍♂️🙋🏻‍♀️

#KampüseHoşgeldin standlarımızda bugün yeni arkadaşlarımız ile tanıştık.

#KampüsSensizOlmaz

@eyupkadirinan 
@avyusufibis 
@mucahidsuleyman 
@emreburakkurum https://t.co/Gh6DOKAh3W",akgenclikelazig
2022-10-04 18:13:28+00:00,1577361276010778624,"Prof. Dr. İnanç Özgen'in kaleminden: ""Hüzün iyi insan yapıyor hepsini"" https://t.co/XZJMnUreov #elazığ #firatüniversitesi @inanc_ozgen https://t.co/0EyibYmbB4",harputgundem
2022-10-04 17:34:20+00:00,1577351428183662592,4 Ekim Dünya Hayvanları Koruma Günü kapsamında Fırat Üniversitesi Veterinerlik Fakültesi tarafından düzenlenen kedi evi yapma etkinliğine katılım sağladık. Bu farkındalık dolu etkinlik için Prof.Dr. Abdullah Özen ve Prof.Dr. Mehmet Çalıcıoğlu'na teşekkür ederiz. https://t.co/XlO50sgwRS,elazigbahcsehir
2022-10-04 13:52:16+00:00,1577295542400565251,"Fırat Üniversitesi’nde TÜBİTAK 4005 Proje Eğitiminin açılış programı yapıldı 
https://t.co/4KUMUBmWIM 

@ProfGoktas https://t.co/MkyROgdc36",Firatgazetesi23
2022-10-04 13:52:01+00:00,1577295477346910208,"TÜBİTAK 4005 kapsamında Üniversitemiz ve İl Milli Eğitim Müdürlüğü ortaklığındaki; “Fen Bilgisi Öğretmenleri, İklim Değişikliği, Biyoçeşitlilik ve Çevre Alanlarında Yenilikçi Öğretim Teknolojileri Araçlarını Kullanarak Ders İçerikleri Hazırlıyor” projesinin açılışı yapıldı. https://t.co/1fcPqtawNb",firatresmihesap
2022-10-04 13:45:11+00:00,1577293757476749314,"Fırat Üniversitesi Rektörü Prof.Dr. Sn.Fahrettin Göktaş ve Rektör Yardımcısı Prof.Dr. Sn.Bilal Üstündağ'a, kampüs alanında yapılan çalışmalar hakkında bilgi verilmiştir. @firatresmihesap @ProfGoktas @DOGALGAZAKSA https://t.co/5Bu8mf6Tvc",AksaElazig
2022-10-04 13:26:58+00:00,1577289174889136129,Fırat üniversitesi kütüphanesi 16:26 sevdicekle geleceğe hazırlık yapıyoruz bu benim ilk twitim bi sonraki twitimde her şey güzel olacak ♾❤️ #totem https://t.co/TAbI5Hd4y3,HilalNurkrt
2022-10-04 12:04:54+00:00,1577268520974680064,"DUYURU
5 Ekim 2022 Çarşamba günü gerçekleştirilecek olan PDR 1. sınıflara yönelik tanışma toplantısı, aynı gün saat 14.00'te Atatürk Kültür Merkezi'nde gerçekleştirilecek olan üniversite geneli oryantasyon eğitimi nedeniyle 12 Ekim 2022 Çarşamba günü saat 15.30'a ertelenmiştir.",FiratUniPDR
2022-10-04 11:50:27+00:00,1577264886748696577,https://t.co/GHuchYcb7r,FEnstitusu
2022-10-04 10:26:32+00:00,1577243766926503937,"Üniversitemize yeni katılan öğrencilerimize yönelik Oryantasyon Eğitimi düzenlenecektir.

Yeni başlayan tüm öğrencilerimiz davetlidir. 🤗

🗓5 Ekim 2022, Çarşamba
🕑14.00
📍Fırat Üniversitesi Atatürk Kültür Merkezi https://t.co/Nn1zizoh0y",firatresmihesap
2022-10-03 20:38:26+00:00,1577035368192303105,"Henüz 18 bile değilken kapısından girmiştim. O zamanlar adı Gazikent Üniversitesi’ydi. Haylaz, yerinde duramayan bir öğrenciydim. Bugün 11. Yılımı tamamladım. Çarşamba günü inşallah doktoram bitecek. Dönüp baktığımda dolu dolu yaşamışım.Yaşadığınız herşeyin kıymetini bilin.

Cem, https://t.co/mTMbdK2Tvk",fcemdogan
2022-10-03 19:36:37+00:00,1577019812206637056,"Fırat Üniversitesi kazandı, Aksaray Gençlik kaybetti

🔗https://t.co/0zvsCcPawf https://t.co/1GFKUGuV1E",elazigonline
2022-10-03 19:10:02+00:00,1577013121700352000,Fırat Üniversitesi E tipi cezaevinden tahliye oldum. Artık mezunum😄,Devranbbt
2022-10-03 19:09:46+00:00,1577013054226583553,"Bu Başarı Hepimizin....
Yapılan bilimsel değerlendirmeler sonucunda Veteriner Fakültemiz dünyadaki en iyi üniversiteler arasına girme başarısını gösterirken Türkiye de birinciliği göğüsledi. Emeği geçen tüm hocalarımıza teşekkür ediyoruz...
https://t.co/9XtTkLg9Dl https://t.co/eAa6y77UfP",Firat_vet
2022-10-03 18:41:00+00:00,1577005815629651969,"Yarın 14.30’da Fırat Üniversitesi Kültür Parktayıııııız 😻😸
Sizi de bekliyoruuz 😺 
#hayvanlarıkorumagünü #kedievi #fıratüniversitesi #elazığ https://t.co/oOM2nLAQTz",berfiinsener
2022-10-03 16:43:02+00:00,1576976128404619267,https://t.co/yhjx8yjDKe,firatunicog
2022-10-03 16:42:28+00:00,1576975987161432071,Emekli öğretim üyesi Prof. Dr. Mesut ELİBÜYÜK 4 Ekim Salı günü saat 15.30'da İnsani ve Sosyal Bilimler Fakültesi öğrenci girişinde yer alan Bahaeddin Öğel Konferans salonunda Tarihi Coğrafya konusunda konferans verecektir. Bütün öğrencilerimiz davetlidir. https://t.co/bcGLpBSuA9,firatunicog
2022-10-03 14:44:57+00:00,1576946411635376132,En iyi üniversitelerden biri olan Oxford üniversitesi'nin manasının öküz kalesi olduğunu biliyoruz muydunuz 🤣🤣🤣,EyptalhaFrat1
2022-10-03 13:09:19+00:00,1576922346014662657,"Fırat Üniversitesi kazandı, Aksaray Gençlik kaybetti https://t.co/VAJ95s3JMT",haber_t4
2022-10-03 12:09:02+00:00,1576907173694951426,"Fırat Üniversitesi'nden 'Usulsüz Atama' İddialarına Açıklama
https://t.co/L2IcpBSA76
@firatresmihesap",elaziggundem23
2022-10-03 12:05:13+00:00,1576906213304197120,"Elazığ Belediyesi Kitap Fuarı 📚

🗓️ 8-16 Ekim

📍Ahmet Tevfik Ozan Fuar ve Kongre Merkezi

⏰ 10.00-21.00 https://t.co/McBaSLbp3M",fu_ogrenci
2022-10-03 11:58:51+00:00,1576904610270150656,"Fırat Üniversitesi ve Elazığ'da faaliyet gösteren kulüplerin ve toplulukların linklerinin paylaşıldığı kanalımızı takip edebilirsiniz ⤵️
https://t.co/bM5emrVfQ5",fu_ogrenci
2022-10-03 11:35:01+00:00,1576898615221649409,"Fırat Üniversitesi kazandı, Aksaray Gençlik kaybetti
https://t.co/0271tELYPG",el_azizgazetesi
2022-10-03 11:17:03+00:00,1576894092587716608,"Fırat Üniversitesi Kazandı, Aksaray Gençlik Kaybetti https://t.co/UwBOWIq6j4 https://t.co/a2hghEdffw",manset23haber
2022-10-03 11:13:26+00:00,1576893183178420224,"Fırat Üniversitesi Kazandı, Aksaray Gençlik Kaybetti 
https://t.co/gi7ScYRTQl",haberkent23
2022-10-03 10:46:40+00:00,1576886445825937408,"Fırat Üniversitesi Kazandı, Aksaray Gençlik Kaybetti
https://t.co/zOQj8Udqkz
#elazığ https://t.co/a0tjH7Ae8Q",Kanal23HD
2022-10-03 10:37:08+00:00,1576884047766114304,"Fırat Üniversitesi, Sayıştay Raporlarında Mevcut Döneme İlişkin Hiç Bir Bulguya Rastlanmadığını Açıkladı 
@ProfGoktas @firatresmihesap #elazığ
https://t.co/NVf7Ro1nk9",haberkent23
2022-10-03 10:34:21+00:00,1576883345555759105,"Fırat Üniversitesi, Sayıştay Raporlarında Mevcut Döneme İlişkin Hiç Bir Bulguya Rastlanmadığını Açıkladı - Birlik Haber Ajansı-BHA
@ProfGoktas @stktsl23 https://t.co/vj9VqSbbO8",birhajans
2022-10-03 10:23:07+00:00,1576880521199890437,"Fırat Üniversitesi usulsüz atamalar iddiası ile ilgili açıklama yaptı
https://t.co/fzTUpa5FFw 

@firatresmihesap @ProfGoktas https://t.co/Efr1r9JYh4",Firatgazetesi23
2022-10-03 10:16:36+00:00,1576878879301505024,@yukselhos Sadece doktora bilginiz var ve Fırat Üniversitesi yazıyor. Büyük şehirde üniversite görmeyen akademisyen çok azdır. Neyse uzatmayayım. Saygılar sayın hocam.,gbilgici
