,0
bizim,170
şu,170
benim,170
bile,170
bölüm,169
şehadet,169
yıldırım,168
ailesine,168
kapalı,168
fıratüniversitesi,167
merkezinde,167
kazanan,167
gazal,166
işbirliği,166
babası,166
akdeniz,166
üyeleri,166
imzalandı,166
kayıt,165
anadolu,165
veren,165
kavga,164
polis,164
adına,163
malatya,163
ihtiyacıiletişim,163
kanal,163
okurken,163
cumhuriyet,162
sene,161
biri,161
tarihi,161
alanında,161
dakika,160
siz,160
ülkücüleri,159
programına,159
dekanı,159
çocuk,158
medya,158
içinde,158
diğer,157
edecektik,157
ibrahim,157
emeği,157
şimdi,156
müdürlüğü,156
dilerim,155
atanan,155
görüşlü,154
ver,154
çakıroğluna,154
öğrencilerinden,154
sesimizi,154
teşkilatımız,153
bize,153
hekimliği,153
kaybetti,152
nurullah,152
inönü,152
gerçekleştirildi,152
sahip,152
video,152
iptal,152
görev,152
arkadaşlar,151
park,151
üzerine,151
bölümünde,150
pkklılar,150
edilmiştir,150
koç,150
vefat,150
ettiler,150
dün,148
karar,148
yaşamına,146
kalan,146
kalkınma,145
salonunda,145
kardeşim,144
kahpece,144
futbol,144
rağmen,144
başsağlığı,144
hayvan,144
kararını,144
uygulama,143
adını,143
su,143
dileriz,143
aile,143
can,143
gerçekleştirdik,143
hifzullah,143
davetlidir,142
tam,142
şey,142
sabah,142
jeoloji,141
akşam,141
seni,141
hocamız,141
ikinci,141
bulunduk,141
olduğunu,141
öğrencilerimiz,140
ziyaretinde,140
selçuk,140
öğrencilerinin,140
yazan,139
alınan,139
cumhurbaşkanlığı,139
hava,139
müh,139
eylesin,138
ana,138
zorla,138
kız,138
tanıtım,137
hastane,137
açıldı,137
sağolsun,137
kez,137
tl,136
dış,136
gsk,136
erdoğan,136
gençler,136
bölgesel,135
katili,135
protokolü,135
takımı,135
beril,135
ay,135
öğrencilerini,135
demirdağı,134
covid,134
temmuz,133
ettiği,133
başta,133
inşallah,133
yönetimi,133
hizmet,133
vefatının,133
kürdistan,133
olması,133
gözaltına,132
bilişim,132
adli,132
yaşadığı,131
aydın,131
uludağ,131
üniversitede,131
toplantısı,131
öğrenciyken,131
hakkı,131
şâd,130
gaziantep,130
doğu,130
dönemi,129
türkçe,129
çalışma,129
yapay,129
yeri,129
yaşında,129
valimiz,129
tercih,129
yıldönümünde,128
geri,128
içerisinde,128
yaralanan,128
insani,127
yapacak,127
kampanyaya,127
okuldan,127
kampusu,127
lig,127
atılma,126
kararı,126
katıldık,126
altına,126
hocamıza,126
etsin,125
protokol,125
doğum,124
yaşanan,124
kazandı,124
hainlerin,124
dedeoğlu,124
yemek,123
yardım,123
dua,123
beni,123
fıratı,122
bana,122
sonrası,122
şekilde,122
istemiyoruz,122
çözüm,122
sorumlusu,121
yaz,121
hep,121
emre,121
bıçaklı,121
bilgiler,120
rektörlüğüne,120
kardeşimizi,120
konseri,120
adam,120
doğru,120
sırada,120
hala,120
açık,120
eder,119
bizi,119
meydana,119
aziz,119
savunma,119
bünyesinde,118
doktor,118
mu,118
kutum,118
aralık,117
konusunda,117
ömer,117
atandı,117
kendi,117
evinde,117
fazla,117
herkese,117
avrupa,116
dili,116
ağır,116
katılım,115
yapıyor,115
elazığa,115
selam,115
yurduna,115
ajansı,115
sevgili,115
geldik,115
mert,115
üzerinden,114
doğan,114
paylaştı,114
açılış,114
sahipliğinde,114
adlı,114
fatih,114
izmirde,113
özlemle,113
tepki,113
saldırıya,113
basın,113
etkinlikleri,113
bölümünden,112
cuma,112
ilişkin,112
çarşamba,112
yapılacak,112
rabbim,112
amatör,112
dedi,111
şehir,111
vermek,111
dicle,111
kantini,111
katılan,111
yaralandı,111
kimya,110
zaytung,110
başı,110
vardiya,110
dolayısıyla,109
tayyip,109
gül,109
işte,109
şifalar,109
pazar,108
çeşitli,108
olaylarda,108
beden,108
fethi,108
yök,108
kaç,108
bütünleme,108
sana,108
eğitimini,107
yayın,107
tedavisi,107
çalışmaları,107
enerji,107
yurt,106
üniversiteye,106
erasmus,106
an,106
fakültesinden,106
murat,106
bunu,106
resmi,106
mutlu,106
hacettepe,105
iken,105
ölü,105
tarihleri,105
fakültesinin,104
teşkilatı,104
sistemi,104
sağlığı,104
yrd,104
ailesi,103
öğr,103
cumartesi,103
derneği,102
ismi,102
altında,102
başka,102
recep,102
sürecinde,101
fırata,101
sanayi,101
kocaeli,101
yardımcı,101
dersi,101
bey,101
pandemi,100
cumhurbaşkanı,100
gerçekleştirdi,100
tarikat,100
paylaşımı,100
ilgi,100
gece,100
üniversitelerde,99
olmuştur,99
dünyada,99
görmekte,99
kamu,99
çukurova,98
üniversitemize,98
yaşamını,98
edebiyatı,98
ortak,98
düzenlediği,98
belediyespor,97
bayram,97
hem,97
arge,97
kalp,97
hocamızı,97
tebrikler,97
the,97
müdürümüz,97
duyun,96
yakın,96
kaza,96
elazığın,96
yapmak,96
bursa,96
abdullah,96
ilan,96
alıyor,96
sizi,96
olsa,95
olay,95
söyleyen,95
yılar,95
zeka,95
koridorlarında,95
perşembe,95
yıllık,95
sizleri,95
olup,95
of,95
sağ,94
hazırlanan,94
fıratlar,94
öğretmenliği,94
yüzlerce,94
yeter,94
taşıyan,94
eğitime,94
düşen,94
öğrencisiyim,94
belediyesi,93
öğrencilerimizin,93
konuğu,93
daire,93
hukuk,93
biyomühendislik,93
yol,93
via,93
eğitimöğretim,93
politikalar,93
bal,93
şahin,93
üniversitemizin,93
amaçlı,93
operasyonu,93
günleri,93
