Text
   fırat üniversitesi hastanesi prf dr erhan aygen ile temasa geçin derimobezite cerrahisi ile birlikte şeker hayatınızdan gider
"sanat kulübü teknik eğitim dersleri 

 altınözü anadolu i̇mam hatip lisesinden mezun ve eğitim hayatına elazığ fırat  üniversitesi i̇letişim fakültesi radyo ve televizyon bölümü sınıfta öğrenim gören ve altınözü belediyesi  basın ve  medya sorumlularından "
fırat üniversitesi i̇nsanı ve sosyal bilimler fakültesi coğrafya bölümü fiziki coğrafya anabilim dalı başkanı sayın prof dr murat sunkar hocam ve fethi sekin şehir hastanesi i̇ss direktör yrd sn ahmet sis odamıza ziyarette bulundular 
